pref_name,secondary_medical_code,secondary_medical_name,city_code,city_name
北海道,0101,南渡島,01202,函館市
北海道,0101,南渡島,01236,北斗市
北海道,0101,南渡島,01331,松前町
北海道,0101,南渡島,01332,福島町
北海道,0101,南渡島,01333,知内町
北海道,0101,南渡島,01334,木古内町
北海道,0101,南渡島,01337,七飯町
北海道,0101,南渡島,01343,鹿部町
北海道,0101,南渡島,01345,森町
北海道,0102,南檜山,01361,江差町
北海道,0102,南檜山,01362,上ノ国町
北海道,0102,南檜山,01363,厚沢部町
北海道,0102,南檜山,01364,乙部町
北海道,0102,南檜山,01367,奥尻町
北海道,0103,北渡島檜山,01346,八雲町
北海道,0103,北渡島檜山,01347,長万部町
北海道,0103,北渡島檜山,01370,今金町
北海道,0103,北渡島檜山,01371,せたな町
北海道,0104,札幌,01101,中央区
北海道,0104,札幌,01102,北区
北海道,0104,札幌,01103,東区
北海道,0104,札幌,01104,白石区
北海道,0104,札幌,01105,豊平区
北海道,0104,札幌,01106,南区
北海道,0104,札幌,01107,西区
北海道,0104,札幌,01108,厚別区
北海道,0104,札幌,01109,手稲区
北海道,0104,札幌,01110,清田区
北海道,0104,札幌,01217,江別市
北海道,0104,札幌,01224,千歳市
北海道,0104,札幌,01231,恵庭市
北海道,0104,札幌,01234,北広島市
北海道,0104,札幌,01235,石狩市
北海道,0104,札幌,01303,当別町
北海道,0104,札幌,01304,新篠津村
北海道,0105,後志,01203,小樽市
北海道,0105,後志,01391,島牧村
北海道,0105,後志,01392,寿都町
北海道,0105,後志,01393,黒松内町
北海道,0105,後志,01394,蘭越町
北海道,0105,後志,01395,ニセコ町
北海道,0105,後志,01396,真狩村
北海道,0105,後志,01397,留寿都村
北海道,0105,後志,01398,喜茂別町
北海道,0105,後志,01399,京極町
北海道,0105,後志,01400,倶知安町
北海道,0105,後志,01401,共和町
北海道,0105,後志,01402,岩内町
北海道,0105,後志,01403,泊村
北海道,0105,後志,01404,神恵内村
北海道,0105,後志,01405,積丹町
北海道,0105,後志,01406,古平町
北海道,0105,後志,01407,仁木町
北海道,0105,後志,01408,余市町
北海道,0105,後志,01409,赤井川村
北海道,0106,南空知,01209,夕張市
北海道,0106,南空知,01210,岩見沢市
北海道,0106,南空知,01215,美唄市
北海道,0106,南空知,01222,三笠市
北海道,0106,南空知,01423,南幌町
北海道,0106,南空知,01427,由仁町
北海道,0106,南空知,01428,長沼町
北海道,0106,南空知,01429,栗山町
北海道,0106,南空知,01430,月形町
北海道,0107,中空知,01216,芦別市
北海道,0107,中空知,01218,赤平市
北海道,0107,中空知,01225,滝川市
北海道,0107,中空知,01226,砂川市
北海道,0107,中空知,01227,歌志内市
北海道,0107,中空知,01424,奈井江町
北海道,0107,中空知,01425,上砂川町
北海道,0107,中空知,01431,浦臼町
北海道,0107,中空知,01432,新十津川町
